6,'Bayer Leverkusen',,bayer-04-leverkusen-wappen.png,A,0,0
7,'Borussia Dortmund',,borussia-dortmund-wappen.png,A,0,0
16,'VfB Stuttgart',,vfb-stuttgart-wappen.png,A,0,0
40,'FC Bayern München',,fc-bayern-muenchen-wappen.png,A,0,0
54,'Hertha BSC',,Hertha_BSC.png,A,0,0
65,'1. FC Köln',,fc_koeln.png,A,0,0
80,'1. FC Union Berlin',,unionberlin.png,A,0,0
81,'1. FSV Mainz 05',,fsv-mainz-05-wappen.png,A,0,0
83,'Arminia Bielefeld',,arminia-bielefeld.png,A,0,0
87,'Borussia Mönchengladbach',,borussia-moenchengladbach-wappen.png,A,0,0
91,'Eintracht Frankfurt',,eintracht-frankfurt-wappen.png,A,0,0
95,'FC Augsburg',,fc-augsburg-wappen.png,A,0,0
112,'SC Freiburg',,freiburg.png,A,0,0
115,'SpVgg Greuther Fürth',,spvgg-greuther-fuerth-wappen.png,A,0,0
129,'VfL Bochum',,vfl_bochum.png,A,0,0
131,'VfL Wolfsburg',,vfl-wolfsburg-wappen.png,A,0,0
175,'TSG 1899 Hoffenheim',,tsg-1899-hoffenheim-wappen.png,A,0,0
1635,'RB Leipzig',,leipzig.png,A,0,0
